liste;ID;Titre;Sous-titre;Édition;Type;EAN;"Prix indicatif";Joueur(s);Durée;Age(s);Langues;Univers;Gamme(s);Catégorie(s);Thème(s);Mécanisme(s);Éditeur(s);Auteur(s);Illustrateur(s)
Famille;1286;"Loony Quest";;2015;basegame;3558380019343,3558380025757;30;"2 — 5";20;8+;français,allemand,italien;;"Loony Quest";"Jeu de plateau";"Fantastique,Jeu vidéo";"Adresse & Dextérité,Dessin,Observation,Parcours,Prise de risque";Libellud;"David Franck,Laurent Escoffier";"Paul Mafayon"
Famille;1290;Piratoons;;2015;basegame;5425025603596;35;"2 — 4";30;8+;français;;;"Jeu de plateau";Pirates;Bluff,Enchères,Rapidité;"Act In Games";"Olivier Grégoire,Thibaut Quintens";"Amandine Flahaut,Antoine Petit,Nina Clauzel,Olivier Bogarts"
Famille;2034;"Les Bâtisseurs";Moyen-Âge;2013;basegame;3760267990694,3770000010022;15;"2 — 4";30;10+;français;;"Les Bâtisseurs";"Jeu de Cartes";Architecture,Immobilier,Médiéval,Urbanisme,Ville;"Chance & Hasard,Combinaison,Construction,Gestion,Gestion de main,Placement d'ouvriers,Points d'action";Bombyx;"Frédéric Henry";"Sabrina Miramon"
Famille;10394;Kahuna;;2011;basegame;0688623904228;24;Duo;"30 — 40";10+;français;;Kahuna;"Jeu de plateau";"Les îles,Océanie";"Connexion,Conquête,Construction,Draft,Gestion de main";Filosofia,Kosmos;"Günter Cornett";"Claus Stephan"
Famille;19255;Galèrapagos;;2017;basegame;3421271815211;24;"3 — 12";20;10+;français;;Galèrapagos;"Jeu d'Ambiance,Jeu de plateau";"Catastrophe,Humour,Les îles,Survie";Bluff,Négociation,Pioche,Semi-coopération;Gigamic;"Laurence Gamelin,Philippe Gamelin";"Jonathan Aucomte"
Famille;19913;"Magic Maze";;2017;basegame;3683080182971;22,5;"1 — 8";15;8+;français,anglais,allemand,espagnol,italien,néerlandais;;"Magic Maze";"Jeu de plateau";"Fantastique,Humour,Magie & Sorcellerie,Médiéval";"Argumentation,Coopération,Exploration,Rapidité,Simultanéité,Temps réel";"Sit Down! Games";"Kasper Lapp";"Gyom Seijnhaeve"
Famille;973;"Haru Ichiban";;2015;basegame;3770000282252;18;Duo;20;8+;français,anglais,néerlandais;;"Haru Ichiban";"Jeu de plateau";Asie,Japon,Nature;"Affrontement Direct,Alignement,Choix simultanés,Déplacement";"Blackrock Games";"Bruno Cathala";"Stefano Collavini"
Famille;1954;Longhorn;;2013;basegame;3770000904192;20;Duo;15;8+;français,anglais,allemand,espagnol,italien,néerlandais,portugais;;;"Jeu de plateau";"Animaux,Bovins,Far West";"Plateau modulaire,Semaille";"Blue Orange";"Bruno Cathala";"Vincent Dutrait"
Famille;1443;"Dragon Run";;2014;basegame;3770000904291;20;"2 — 5";15;8+;français;;;"Jeu d'Ambiance";Dragons,Fantastique,Médiéval;"Pioche,Prise de risque";"Blue Orange";"Bruno Cathala,Ludtche";"Vincent Dutrait"
Famille;6168;Sobek;;2010;basegame;7640131630085;20;"2 — 4";20;10+;français;;Sobek;"Jeu de Cartes";Antiquité,Commerce,Egypte;"Collection,Combinaison,Gestion de main,Placement de tuiles,Pouvoir";Gameworks;"Bruno Cathala";"Mathieu Beaulieu"
Famille;8662;"Fantasy S.A";;2008;basegame;9780981645537;20,5;"2 — 5";20;12+;français;;"Fantasy S.A";"Jeu de Cartes,Jeu de dés";Chevalerie,Fantastique,Humour;"Affrontement Direct,Pouvoir,Roleplay";"Edge Entertainment";"Eric Lang";"Mike S. Miller"
Famille;5447;Munchkin;"Édition Revisée";2010;basegame;8435407639133,9788496802650;21;"3 — 6";60;12+;français;Munchkin;Munchkin;"Jeu de Cartes";Exploration,Fantastique,Humour,Médiéval;"Affrontement Direct,Blocage,Chance & Hasard,Gestion de main,Pioche,Semi-coopération";"Edge Entertainment,Steve Jackson Games";"Steve Jackson (US)";"John Kovalic"
Famille;21154;"Pass the pigs";;1977;basegame;;15;"2 — 6";15;6+;français,anglais;;"Jeu de cochons";"Jeu de dés";Animaux,Cochons;"Chance & Hasard,Combinaison,Prise de risque,Stop ou encore";;;
Famille;254;Pyramids;;2017;basegame;3760175513060;20;"2 — 5";30;10+;français;;;"Jeu de plateau";Egypte,Monuments,Mythologie;Construction;Iello;"Brett J. Gilbert,Matthew Dunstan";"Camille Chaussy,Michael Menzel"
Famille;5265;"Saboteur - Les mineurs contre-attaquent !";;2011;basegame;3421272106615;16;"2 — 12";30;8+;français;;Saboteur;"Jeu de Cartes";"Mines,Nains,Pierres Précieuses";"Bluff,Connexion,Équipes,Exploration,Placement de cartes,Plateau modulaire,Rôle secret,Semi-coopération";Gigamic;"Frédéric Moyersoen";"Andrea Boeckhoff"
Famille;2300;Mascarade;;2013;basegame;5425016921487;20;"2 — 13";30;10+;français;;Mascarade;"Jeu d'Ambiance,Jeu de Cartes";Renaissance;"Bluff,Déduction,Mémorisation,Rôle secret";"Repos Production";"Bruno Faidutti";"Jeremy Masson"
Famille;7749;"Shadow Hunters";;2009;basegame;3760146641914;26;"4 — 8";60;8+;français;;"Shadow Hunters";"Jeu de Cartes,Jeu de plateau";"Chasse,Fantastique,Guerre,Magie & Sorcellerie,Monstres & Créatures,Mythologie";"Chance & Hasard,Déduction,Élimination,Pouvoir,Rôle secret";"Matagot,Republic Of Games";"Yasutaka Ikeda";
Famille;5456;"Service Compris!";;2010;basegame;3558380032021;20;"2 — 6";45;10+;français;;"Service Compris!";"Jeu de Cartes";"Alimentation,Fées & lutins,Humour,Monstres & Créatures,Survie";"Chance & Hasard,Élimination,Placement de cartes,Pouvoir";Asmodee;"David B. Bromley";"Franck Dion"
Famille;15847;Elixir;;2013;basegame;3558380000013;19;"3 — 8";"30 — 60";10+;français;;Elixir;"Jeu d'Ambiance,Jeu de Cartes";"Humour,Magie & Sorcellerie";Combinaison;Asmodee;"Frédéric Leygonie,Juan Rodriguez,Sylvie Barc";"Christophe Swal"
Ambiance;23301;"The Mind";;2018;basegame;3760207030329,4012426880667;9,95;"2 — 4";20;8+;français,anglais;;"The Mind";"Jeu de Cartes";Abstrait;"Coopération,Déduction,Objectif secret";"Nürnberger Spielkarten Verlag,Oya";"Wolfgang Warsch";"Oliver Freudenreich"
Ambiance;2412;Complots;;2013;basegame;3760093330497;12,5;"2 — 8";15;8+;français;;Complots;"Jeu de Cartes";Médiéval,Politique,Renaissance;"Bluff,Chance & Hasard,Élimination,Négociation,Rôle secret";Ferti;"Rikki Tahta";Naïade
Famille;18529;Hanabi;;2015;basegame;3760052141928;11;"2 — 5";30;8+;français;;Hanabi;"Jeu de Cartes";Abstrait,Asie,Fête,Japon;"Communication Restreinte,Coopération,Déduction,Jeu caché,Logique,Prise de risque";"Cocktail Games,Les XII Singes";"Antoine Bauza";"Gérald Guerlais"
Famille;195;"Fabulosa Fructus";;2017;basegame;8435407615144;31,5;"2 — 5";25;8+;français;;"Fabulosa Fructus";"Jeu de Cartes";"Alimentation,Animaux,Fruits & légumes";"Collection,Évolutif,Placement d'ouvriers";"Edge Entertainment";"Friedemann Friese";"Harald Lieske"
Famille;483;"Smash Up - Munchkin";;2016;standalone;3760175513282;35;"2 — 4";45;12+;français;Munchkin;"Smash Up";"Jeu de Cartes";"Humour,Jeu De Société,Médiéval Fantastique";"Affrontement Direct,Combinaison,Conquête,Gestion de main,Influence,Majorité,Pouvoir";"Alderac Entertainment Group,Iello";"Paul Peterson";"Francisco Rico Torres,Gong Studios,John Kovalic"
Famille;22062;Epix;;2015;basegame;3760093330602;26,9;"2 — 4";25;12+;français;;Epix;;Guerre,Médiéval;"Affrontement Direct,Déduction";Ferti;"Rikki Tahta";Naïade
Famille;4572;"Le Roi des Nains";;2011;basegame;3760175510229;16,5;"3 — 5";40;10+;français;;"Le Roi Des Nains";"Jeu de Cartes";Fantastique,Humour,Médiéval;"Chance & Hasard,Combinaison,Gestion de main,Mémorisation,Plis";Iello;"Bruno Faidutti";"Christophe Swal"
Famille;1571;Souk;;2014;basegame;3770000010039;15;"3 — 5";15;8+;français;;"Spice Merchant";"Jeu de Cartes";"Alimentation,Bourse & Finances,Commerce";"Pari,Prise de risque";Bombyx;"Gary Kim";"Mathieu Leyssenne"
Famille;20296;"Le Trône de Fer - La Main du Roi";;2017;basegame;8435407611184;13;"2 — 4";30;14+;français,anglais;"Game of Thrones";"La Main du Roi";"Jeu de Cartes";Fantastique,Médiéval;Collection;"Fantasy Flight Games";"Bruno Cathala";"Mihajlo Dimitrievski"
Expert;3666;"The Island";;2012;basegame;3558380014232;35;"2 — 4";45;8+;français;;"The Island";"Jeu de plateau";"Animaux,Aventure,Baleines,Catastrophe,Les îles,Maritime,Monstres & Créatures,Océan,Requins,Survie,Volcans";"Chance & Hasard,Dans Ta Face,Déplacement,Jet De Dés,Mémorisation,Placement de tuiles,Plateau modulaire,Pouvoir,Prise de risque";Asmodee;"Julian Courtland-Smith,Julian Gourtland-Smith";"David Ausloos,Jean-Brice Dugait,Stéphane Gantiez"
Expert;7126;Carcassonne;;2010;basegame;0688623300228;25;"2 — 5";40;8+;français;;Carcassonne;"Jeu de tuiles";Médiéval,Ville;"Blocage,Connexion,Majorité,Placement de tuiles";"Filosofia,Hans Im Glück";"Klaus-Jürgen Wrede";"Doris Matthäus"
Famille;817;Celestia;;2015;basegame;3770005767006;25;"2 — 6";30;8+;français,anglais,néerlandais;Celestia;Celestia;"Jeu de Cartes,Jeu de plateau";"Aviation,Exploration,Fantastique,Steampunk,Transport & voyage";"Bluff,Chance & Hasard,Pari,Prise de risque,Stop ou encore";"Blam !";"Aaron Weissblum";"Gaëtan Noir"
Famille;612;"Isle of Skye";;2016;basegame;3770001556390;29,9;"2 — 5";"30 — 50";8+;français;;"Isle Of Skye";"Jeu de tuiles";Celtique,Économie,Écosse;"Collection,Enchères,Placement de tuiles";"Funforge,Lookout Games,Mayfair Games";"Alexander Pfister,Andreas Pelikan";"Klemens Franz"
Famille;1880;"Desperados of Dice Town";;2014;basegame;3760146641648;18;"2 — 4";25;8+;français;;"Desperados Of Dice Town";"Jeu de dés";"Amérique,Far West";"Chance & Hasard,Combinaison,Élimination,Jet De Dés,Pioche,Prise de risque,Stop ou encore";Matagot;"Bruno Cathala,Ludovic Maublanc";Piérô
Enfance;14235;"Le Menteur";;1980;basegame;;15;"2 — 6";30;7+;français;;"Le Menteur";"Jeu de Cartes";;Bluff,Défausse;MB;;
Expert;8156;"Small World";;2009;basegame;0824968726815;48;"2 — 5";75;8+;français;;"Small World";"Jeu de plateau";"Colonisation,Exploration,Fantastique,Médiéval,Médiéval Fantastique,Monstres & Créatures,Mythologie";"Conquête,Contrôle de zone,Déplacement,Négociation";"Days Of Wonder";"Philippe Keyaerts";"Miguel Coimbra"
Expert;4177;Takenoko;;2011;basegame;3558380013921,3760171550304;34;"2 — 4";45;8+;français,anglais,espagnol,néerlandais;;Takenoko;"Jeu de plateau,Jeu de tuiles";"Animaux,Asie,Chine,Climat & Météo,Japon,Jardinage,Nature,Pandas";"Blocage,Objectif secret,Placement de tuiles,Plateau modulaire";Bombyx,Matagot;"Antoine Bauza";"Joël Picksel,Nicolas Fructus,Yuio"
Extensions;1071;"Takenoko Chibis";;2015;extension;3770000010312,3770000010558;19;"2 — 4";45;8+;français;;Takenoko;"Jeu de plateau";Animaux,Asie,Chine,Jardinage,Nature,Pandas;"Blocage,Objectif secret,Placement de tuiles";Bombyx,Matagot;"Antoine Bauza,Corentin Lebrat";"Joël Picksel,Nicolas Fructus,Yuio"
Enfance;683;"L'Âge de Pierre Junior";;2016;basegame;0688623100910,8435407624122;35;"2 — 4";15;5+;français;;"L'Âge de Pierre";"Jeu de plateau";Préhistoire;Collection,Développement,Mémorisation;Filosofia;"Marco Teubner";"Michael Menzel"
Enfance;2225;"Zombie Kidz";;2013;basegame;0807658000228;16;"2 — 4";30;7+;français;;"Zombie Kidz";"Jeu de plateau";"Zombies & Morts Vivants";"Affrontement Direct,Chance & Hasard,Coopération,Déplacement";"Le Scorpion Masqué";"Annick Lobet";"Paul Drouin"
Expert;3323;Zombicide;;2012;basegame;9788415334316;80;"1 — 6";60;13+;français,anglais,allemand,espagnol,italien,portugais;Zombicide;"Zombicide Classic";"Jeu de figurines,Jeu de plateau";"Catastrophe,Horreur,Survie,Zombies & Morts Vivants";"Campagne,Contrat,Coopération,Déplacement,Équipes,Exploration,Jet De Dés,Plateau modulaire,Points d'action,Pouvoir,Scénarios";"CMON,Guillotine Games";"Jean-Baptiste Lullien,Nicolas Raoult,Raphaël Guiton";"Édouard Guiton,Eric Nouhaut,Mathieu Harlaut,Miguel Coimbra,Nicolas Fructus"
Ambiance;1655;Zik;;2014;basegame;3770000282214;12;3+;20;10+;français;;Zik;"Jeu d'Ambiance";Musique;Chant,Défis,Équipes;"Blackrock Games";"Cyril Blondel";"Chiara Vercesi,Christine Deschamps,David Boniffacy,Maëva Da Silva,Mélanie Fuentes,Tony Rochon"
Enfance;20040;"Zéphir le tapis volant";;2015;basegame;8711808307711;0;"2 — 6";15;4+;français;;;"Jeu d'Ambiance";;"Adresse & Dextérité,Chance & Hasard,Élimination";Goliath;"Jean-François Rochas";
"Ludique Educatif";2313;Zebulon;;2013;basegame;3770003715009;7,5;"2 — 8";10;8+;français;;Zebulon;"Jeu de Cartes,Jeu de lettres";Lettres;Combinaison,Rapidité;"Flip Flap Editions";"Cyril Blondel";"Marie-Gabrielle Verdoni"
Ambiance;20934;Yogi;;2017;basegame;3421271415510;13;"3 — 10";15;8+;français;;Yogi;"Jeu d'Ambiance,Jeu de Cartes";Moyen-Orient;"Adresse & Dextérité,Élimination,Équilibre,Équipes";Gigamic;"Behrooz Shahriari";"Simon Caruso"
Expert;20391;"World of Yo-Ho";;2016;basegame;3760175512759;53,9;"2 — 4";60;8+;français,anglais;;"Le monde de Yo-Ho";"Jeu de plateau";Fantastique,Maritime,Pirates;Déplacement;"Les Editions Volumiques";;
Enfance;6977;Woolfy;;2009;basegame;3070900084278;28;"1 — 4";20;"5 — 9";français;;;"Jeu de plateau";Contes;"Coopération,Jet De Dés,Parcours";Djeco;"Grégory Kirszbaum";"Alex Sanders"
Famille;23914;Wazabi;"Édition spéciale 10 ans";2017;basegame;3421272103348;20;"2 — 6";20;8+;français;;Wazabi;"Jeu de dés";Japon;"Jet De Dés";Gigamic;"Guilhem Debricon";"Stéphane Escapa"
Enfance;2505;"Dino Park";;2013;basegame;9001890608193;15;"1 — 4";20;7+;français;;;"Jeu de dés";Dinosaures;"Combinaison,Jet De Dés,Prise de risque,Stop ou encore";Piatnik;"Reiner Knizia";
Enfance;1833;"Perlin Pinpin";;2014;basegame;3760052141348,3760052142772;13;"2 — 5";10;6+;français;;;"Jeu de Cartes";"Chiffres,Médiéval Fantastique";"Affrontement Direct,Chance & Hasard,Mémorisation";"Cocktail Games";"Denise Evarts,Madeleine Evarts,Max Evarts,Miranda Evarts";"Jimmy Pickering"
Enfance;2150;"Vite! Cachons‐nous!";;2013;basegame;3558380018919;25;"2 — 8";20;4+;français;;"Cache moutons";"Jeu d'Ambiance,Jeu de plateau";"Contes,Monstres & Créatures";"Adresse & Dextérité,Bluff,Rapidité";Libellud;"Frédéric Moyersoen";"Tony Emeriau"
"Petite Enfance";18864;"Mes Premiers Jeux - Une cuillère pour Martin";;2014;basegame;0401068202112,4010168202846;13;"1 — 3";5;"2 — 5";français,anglais,allemand,néerlandais;;"Mes Premiers Jeux";"Jeu D'Adresse";Animaux,Ours;"Adresse & Dextérité";Haba;"Eljan Reeden";"Jennifer Baule-Prinz"
Ambiance;19106;Unanimo;;2014;basegame;3760052141584,3760052142789;13;"3 — 12";15;7+;français,anglais;;Unanimo;"Jeu d'Ambiance,Jeu de Cartes,Jeu de lettres";Abstrait,Lettres;"Créativité & Imagination,Déduction,Équipes,Rapidité";"Cocktail Games";"Ora Coster,Theo Coster";"Olivier Fagnère"
Rétro;31852;Twister;;2014;basegame;5010994640545;22;"2 — 4";10;6+;français;;Twister;"Jeu D'Adresse";Abstrait;"Adresse & Dextérité,Élimination";Hasbro;"Charles Foley,Neil Rabens";
Enfance;5791;"Turbo Team";;2010;basegame;;12;"2 — 4";10;5+;français;;;"Jeu de pions";;;Haba;"Bernhard Lach,Uwe Rapp";"Gabriela Silveira"
Rétro;12828;"Trivial Pursuit - Édition Junior";;1985;basegame;3010007300291;0;2+;"30 — 60";12+;français;;"Trivial Pursuit";"Jeu De Connaissances";"Culture générale";"Déduction,Logique,Questions & Réponses";"Horn Abbot";"Chris Haney,Scott Abbot";
Enfance;12199;"Le Trésor des Mayas";;2006;basegame;4010168033556;18;"2 — 4";"10 — 20";6+;français;;;"Jeu D'Adresse";"Amérique Latine,Exploration,Mayas";"Adresse & Dextérité,Observation,Rapidité";Haba;"Roberto Fraga";"Daniel Döbner"
Enfance;1784;"Le Trésor des Lutins";;2014;basegame;3421272110810,3421272110827;19,9;"2 — 4";20;4+;français;;"Le Trésor des Lutins";"Jeu de plateau,Jeu de tuiles";"Dragons,Fées & lutins";"Chance & Hasard,Coopération,Parcours,Placement de tuiles";Gigamic;"Gina Manola";"Doris Matthäus"
Enfance;21177;"Trésor de glace";;2017;basegame;4010168231839;17,9;"2 — 4";15;5+;français;;"Trésor de glace";"Jeu de plateau";Fantastique,Polaire;Capture,Collection;Haba;"Günter Burkhardt,Lena Burkhardt";"Daniel Döbner"
"Petite Enfance";22492;Torteliki;;2013;basegame;9001890753992;15;"2 — 4";15;3+;français;;"Gamme carrée";"Jeu de tuiles";Animaux,Tortues;"Adresse & Dextérité,Déduction,Mémorisation,Observation";Piatnik;"Virginia Charves";
Famille;19320;"Top Fantasy";;2017;basegame;3770005388065;0;"3 — 8";15;8+;français;;;"Jeu d'Ambiance";;;;;
Extensions;391;"T.I.M.E Stories - Expédition - Endurance";;2016;extension;3558380038801;22,5;"2 — 4";90+;12+;français;"T.I.M.E Stories";"T.I.M.E Stories";"Jeu de plateau";antarctique,Aventure,Exploration,Science-fiction;"Chance & Hasard,Coopération,Déplacement,Énigme,Exploration,Roleplay";"Space Cowboys";"Space Cowboys";"Bernard Bittler"
Extensions;938;"T.I.M.E Stories - La Prophétie des Dragons";;2015;extension;3558380031079;22,5;"2 — 4";90+;12+;français;"T.I.M.E Stories";"T.I.M.E Stories";"Jeu de plateau";Fantastique,Médiéval,Science-fiction;"Chance & Hasard,Coopération,Déplacement,Énigme,Exploration,Roleplay";"Space Cowboys";"Manuel Rozoy";"Pascal Quidault,Vincent Dutrait"
Expert;1088;"T.I.M.E Stories";;2015;basegame;3558380031017;45;"2 — 4";90+;12+;français;"T.I.M.E Stories";"T.I.M.E Stories";"Jeu de plateau";"Aventure,Enquêtes & Mystères,Folie,Science-fiction,Voyage temporel";"Chance & Hasard,Coopération,Déplacement,Énigme,Exploration,Roleplay";"Space Cowboys";"Manuel Rozoy,Peggy Chassenet";"Benjamin Carré,David Lecossu,Pascal Quidault"
Ambiance;327;"Time Bomb";;2016;basegame;3760175513428;13;"4 — 8";15;8+;français;"Sherlock Holmes";"Iello Mini-Games,Time Bomb";"Jeu d'Ambiance,Jeu de Cartes";Espionnage,Londres;"Bluff,Déduction,Équipes,Objectif secret,Prise de risque,Rôle secret";Iello;"Yusuke Sato";Biboun
Rétro;3429;"Tetris Link";;2012;basegame;;25;"2 — 4";15;6+;français;Tetris;Tetris;"Jeu de plateau";"Jeu vidéo";;Asmodee;;
"Ludique Educatif";39170;"Tam Tam Superplus - Les Additions";;2017;basegame;;9;"1 — 3";30;5+;français;;"Tam Tam Supermax";"Jeu de Cartes,Jeu Éducatif";Chiffres,Mathématiques;Calcul,Combinaison,Solo;"AB Ludis Editions";"Frédérique Costantini";
"Ludique Educatif";39169;"Tam Tam Supermax - Les Soustractions";;2019;basegame;9791091185974;9;"1 — 3";30;7+;français;;"Tam Tam Supermax";"Jeu de Cartes,Jeu Éducatif";Abstrait,Chiffres,Mathématiques;Calcul,Combinaison;"AB Ludis Editions";"Frédérique Costantini";
"Ludique Educatif";27723;"Tam Tam multimax: Les tables de multiplication - Niveau 2";;2014;basegame;9791091185158;9;"2 — 3";10;7+;français;;"Tam Tam";;Abstrait;Calcul,Logique,Réflexion;"AB Ludis Editions";"Frédérique Costantini";
Ambiance;26703;Taggle;;2018;basegame;3760285110104;16,9;"3 — 12";25;14+;français;;Taggle;"Jeu d'Ambiance,Jeu de Cartes";Humour;"Argumentation,Créativité & Imagination";"Le Droit De Perdre";"Fabien Bleuze,Yves Hirschfeld";"Mathieu Clauss,Thiébault Courot"
"Petite Enfance";3245;"Tactilo loto";;2012;basegame;3070900081291;18;"2 — 4";10;"4 — 8";français;;Loto;"Jeu de tuiles";Lapins;"Chance & Hasard,Collection,Loto,Observation";Djeco;;
Rétro;28279;"Stylo Krono";;2017;basegame;8711808761995;32,95;"3 — 10";30;8+;français;;;"Jeu d'Ambiance";;Dessin,Rapidité;Goliath;;
Enfance;2607;"Splash attack";;2013;basegame;;25;"2 — 4";15;5+;français;;"Splash attack";"Jeu de dés";Animaux,Couleurs,Formes,Maritime,Poissons;"Jet De Dés,Observation,Rapidité";Gigamic;"Thierry Chapeau";
Ambiance;24197;"Speed Colors";;2017;basegame;4650000321702;13,5;"2 — 5";30;5+;français;;"Speed Colors";"Jeu d'Ambiance";Couleurs;"Adresse & Dextérité,Mémorisation";"Lifestyle Boardgames";"Erwan Morin";"Robin Rossigneux"
Famille;31249;Skyjo;;2015;basegame;4260470080001,4260470080018;14,9;"2 — 8";"15 — 45";8+;français,anglais,allemand,espagnol,italien;;Skyjo;"Jeu de Cartes";Chiffres;"Collection,Échange & Troc,Jeu caché,Pioche,Placement de cartes";Magilano;"Alexander Bernhardt";"Alexander Bernhardt"
Enfance;29250;"Sherlock Express";;2019;basegame;3664824000478;11,5;"2 — 6";30;7+;français,anglais,allemand;"Sherlock Holmes";;"Jeu de Cartes";"Animaux,Époque Victorienne";Déduction,Observation,Rapidité;"Blue Orange";"Henri Kermarrec";"Bénédicte Ammar"
Famille;25201;"Shadows Amsterdam";;2018;basegame;3558380052029;23;"2 — 8";"30 — 60";10+;français;;"Shadows Amsterdam";"Jeu d'Ambiance,Jeu de plateau";Polar;"Argumentation,Choix simultanés,Course,Déduction,Énigme,Équipes";Libellud;"Mathieu Aubert";"M81 Studio"
"Ludique Educatif";41279;"Sel ou Piment ?";;2020;basegame;8410446315521;10,9;"2 — 4";30;5+;français;;;;;"Argumentation,Gestion de main";Nathan;"Marie Chaplet,Steffanie Yeakle";"Vincent Bergier"
Enfance;18870;"Sauve Moutons";;2015;basegame;3569160282550;32;"1 — 5";20;5+;français;;"Jeux coopératifs";"Jeu de plateau";Animaux;Coopération;"Bioviva Editions";"Michaël Rambeau";"Gaëlle Maisonneuve"
Enfance;19908;"Saute lapin !";;2016;basegame;4010168218021;0;"2 — 4";15;4+;français,anglais,allemand,espagnol;;;"Jeu de plateau";Animaux;Collection,Estimation;Haba;"Sylvain Ménager";"Daniel Döbner"
Enfance;17760;"Salut les Pingouins !";;1996;basegame;4005556212927;0;"1 — 6";10;5+;français;;"Salut les Pingouins";"Jeu D'Adresse";"Animaux,Pingouins & Manchots,Polaire";"Adresse & Dextérité";"Ravensburger,Seven Towns";;Idl
Enfance;28810;Roulapik;"La course de galipettes !";2019;basegame;3421272117710;25;"1 — 4";30;4+;français;;Roulapik;"Jeu de plateau";Animaux,Course,Nature;"Adresse & Dextérité,Coopération,Course,Parcours";Gigamic;"Urtis Sulinskas";"Irina Pechenkina"
Famille;19483;"Roi & Compagnie";;2017;basegame;4010168232676;14,9;"2 — 5";30;8+;français,anglais,allemand,espagnol,italien;"roi & compagnie";;"Jeu de dés";Fantastique,Médiéval;"Chance & Hasard,Collection,Combinaison,Jet De Dés";Haba;"Nils Nilsson";"Gus Batts"
Enfance;4831;"Robin, Prince des bandits";;2011;basegame;;10;"2 — 5";15;6+;français;"Robin des bois";;"Jeu de Cartes";;;Haba;"Geni Wyss";"Daniel Döbner"
Rétro;5696;Risk;;1983;basegame;3010006600033;0;"2 — 6";120;12+;français;;Risk;"Jeu de plateau";Géographie,Guerre;"Affrontement Direct,Chance & Hasard,Conquête,Contrôle de zone,Élimination,Influence,Jet De Dés,Majorité,Négociation,Objectif secret";"Parker Brothers";"Albert Lamorisse,Jean-René Vernes";
Famille;15073;RapidCroco;;2014;basegame;3760052141263,3760052141997;10;"2 — 4";30;7+;français;;Rapidcroco;"Jeu de Cartes";Animaux,Humour;Déduction,Observation;"Cocktail Games,Interlude";"Roberto Fraga";Sofi
Famille;2420;"Qwirkle Cubes";;2012;basegame;3760175510410;32;"2 — 4";30;6+;français;;Qwirkle;"Jeu de plateau";Abstrait;"Jet De Dés";Iello,Mindware;"Susan Mckinley Ross";
Famille;7037;Qwirkle;;2010;basegame;3760175510052;30;"2 — 4";"30 — 45";6+;français,anglais,allemand;;Qwirkle;"Jeu de tuiles";Abstrait;Connexion,Observation,Pioche;Iello,Mindware,Schmidt;"Susan Mckinley Ross";
Famille;5330;Quoridor;;2011;basegame;3421271301011;35;"2 — 4";15;6+;français;;Quoridor;"Jeu de pions";Abstrait;"Blocage,Déplacement,Mouvement de point à point";Gigamic;"Mirko Marchesi";
Rétro;21996;"Qui est-ce?";;2011;basegame;5010994438470;15;Duo;15;6+;français;;"Qui Est-Ce ?";"Jeu de plateau";"Vie quotidienne";Déduction,Logique,Observation;Hasbro;;
"Petite Enfance";24212;"Petit Ours Brun - Mon Premier Puzzle à Toucher - Les Animaux";;2017;basegame;9782747081061;11,5;Solo;"5 — 10";1+;français;"Petit Ours Brun";"Mon Premier Puzzle à toucher";Puzzle;"Littérature Enfantine";Observation,Puzzle;Bayard;;"Danièle Bour"
Rétro;6789;"Puissance 4 - Les bons voyages";;2005;basegame;;12;Duo;15;6+;français;;"Puissance 4";"Jeu de pions";Abstrait;Alignement,Combinaison;MB;;
Rétro;35376;"Puissance 4";;2017;basegame;5010993445875;9,9;Duo;30;6+;français;;"Puissance 4";"Jeu de pions";Abstrait;Alignement,Combinaison;Hasbro;;
"Petite Enfance";20304;"Mes Premiers Jeux - Ma première pêche";;2012;basegame;4010168055701;0;"1 — 4";10;2+;français,anglais,allemand,espagnol,italien,néerlandais;;"Mes Premiers Jeux";"Jeu D'Adresse";Animaux,Pêche,Poissons;"Adresse & Dextérité";Haba;"Kristin Mückel";
"Petite Enfance";28751;"Mes Premiers Jeux - Premier Verger";;2011;basegame;4010168035925;24;"1 — 4";5;2+;français;;"Mes Premiers Jeux";"Jeu de plateau";"Animaux,Corbeaux,Fruits & légumes,Nature";"Chance & Hasard,Coopération";Haba;"Anneliese Farkaschovsky";"Walter Matheis"
Ambiance;629;Codenames;;2016;basegame;3760175512858;20;2+;15;12+;français;;Codenames;"Jeu d'Ambiance";Espionnage,Lettres,Vocabulaire;"Association d'idées,Équipes,Prise de risque";"Czech Games Edition,Iello";"Vlaada Chvátil";"Stéphane Gantiez,Tomas Kucerovsky"
Ambiance;807;"Codenames Images";;2017;basegame;3760175513626;20;"2 — 8";15;10+;français;;Codenames;"Jeu d'Ambiance";Lettres;"Association d'idées,Équipes,Prise de risque";"Czech Games Edition,Iello";"Vlaada Chvátil";"David Cochard,Filip Neduk,Jana Kilianova,Michal Suchanek,Stéphane Gantiez,Tomas Kucerovsky"
Ambiance;35367;"Premier Contact";;2019;basegame;3421272820214;24,9;"2 — 7";"30 — 60";10+;français;;;"Jeu à Griffonner,Jeu d'Ambiance";Antiquité,Egypte,Humour,Science-fiction;"Communication Restreinte,Déduction,Équipes,Papier & Crayon,Simultanéité";Gigamic;"Damir Khusnatdinov";"Alexandra Sharyapova"
